A_time,B_time,A_time_numeric,B_time_numeric
1970-01-01 00:01:39.375393618,1970-01-01 00:01:34.574531676,99,94
1970-01-01 00:00:53.449466909,1970-01-01 00:00:42.848914463,53,42
1970-01-01 00:01:03.258248527,1970-01-01 00:00:36.124470130,63,36
1970-01-01 00:00:38.437930051,1970-01-01 00:00:08.458841981,38,8
1970-01-01 00:00:29.520010387,1970-01-01 00:00:23.308843864,29,23
1970-01-01 00:01:13.762516602,1970-01-01 00:01:09.053782034,73,69
1970-01-01 00:01:11.395196922,1970-01-01 00:00:28.836627906,71,28
1970-01-01 00:00:20.479418228,1970-01-01 00:00:08.271561059,20,8
1970-01-01 00:01:28.290131557,1970-01-01 00:00:26.581016794,88,26
1970-01-01 00:01:11.415616586,1970-01-01 00:00:37.132010123,71,37
1970-01-01 00:01:24.248122746,1970-01-01 00:00:52.064886238,84,52
1970-01-01 00:01:22.331517071,1970-01-01 00:00:47.043545166,82,47
1970-01-01 00:01:17.560221121,1970-01-01 00:00:54.351326354,77,54
1970-01-01 00:01:13.122369777,1970-01-01 00:00:07.838713487,73,7
1970-01-01 00:01:24.477234812,1970-01-01 00:00:44.221372903,84,44
1970-01-01 00:01:05.135582215,1970-01-01 00:00:38.669638552,65,38
1970-01-01 00:00:43.009362113,1970-01-01 00:00:16.144148623,43,16
1970-01-01 00:01:03.295216894,1970-01-01 00:00:02.788395048,63,2
1970-01-01 00:01:31.553723317,1970-01-01 00:01:17.012771915,91,77
1970-01-01 00:00:08.208634240,1970-01-01 00:00:07.833164335,8,7
1970-01-01 00:01:28.614417218,1970-01-01 00:00:26.549598116,88,26
1970-01-01 00:00:57.033239341,1970-01-01 00:00:18.135129774,57,18
1970-01-01 00:01:09.873423586,1970-01-01 00:00:22.715464483,69,22
1970-01-01 00:01:31.841938855,1970-01-01 00:00:16.779879569,91,16
1970-01-01 00:00:53.614696854,1970-01-01 00:00:09.303508911,53,9
1970-01-01 00:01:15.531027488,1970-01-01 00:00:17.302594049,75,17
1970-01-01 00:01:32.882215628,1970-01-01 00:00:55.754205792,92,55
1970-01-01 00:01:30.226594556,1970-01-01 00:00:11.465631938,90,11
1970-01-01 00:01:18.636572686,1970-01-01 00:00:24.141376556,78,24
1970-01-01 00:01:29.082465598,1970-01-01 00:00:39.624670995,89,39
1970-01-01 00:01:16.045681653,1970-01-01 00:00:49.828295607,76,49
1970-01-01 00:00:44.071231724,1970-01-01 00:00:04.410379632,44,4
1970-01-01 00:01:13.344787251,1970-01-01 00:01:00.754060750,73,60
1970-01-01 00:01:16.927820755,1970-01-01 00:00:54.681449730,76,54
1970-01-01 00:00:34.540860505,1970-01-01 00:00:19.947147535,34,19
1970-01-01 00:00:32.591658527,1970-01-01 00:00:18.206657670,32,18
1970-01-01 00:00:45.017233621,1970-01-01 00:00:14.596942459,45,14
1970-01-01 00:01:20.319521495,1970-01-01 00:00:28.231277394,80,28
1970-01-01 00:00:31.997478582,1970-01-01 00:00:15.864995496,31,15
1970-01-01 00:01:15.177856851,1970-01-01 00:00:51.017109011,75,51
1970-01-01 00:01:09.648882563,1970-01-01 00:00:11.369010563,69,11
1970-01-01 00:00:17.991256594,1970-01-01 00:00:14.951777576,17,14
1970-01-01 00:00:24.613634786,1970-01-01 00:00:08.604492137,24,8
1970-01-01 00:01:23.571019784,1970-01-01 00:00:39.064970506,83,39
1970-01-01 00:01:14.175189231,1970-01-01 00:01:06.203349207,74,66
1970-01-01 00:00:38.364395980,1970-01-01 00:00:13.672458968,38,13
1970-01-01 00:01:24.568944008,1970-01-01 00:01:10.448672115,84,70
1970-01-01 00:01:17.261834929,1970-01-01 00:01:04.255398466,77,64
1970-01-01 00:01:25.274001280,1970-01-01 00:00:07.623425816,85,7
1970-01-01 00:01:23.635148969,1970-01-01 00:00:25.672209321,83,25
1970-01-01 00:00:39.879456537,1970-01-01 00:00:31.306664502,39,31
1970-01-01 00:01:38.333649209,1970-01-01 00:01:21.046593131,98,81
1970-01-01 00:01:32.650207281,1970-01-01 00:00:24.334658724,92,24
1970-01-01 00:00:46.588003459,1970-01-01 00:00:30.465520605,46,30
1970-01-01 00:00:42.025301267,1970-01-01 00:00:15.386380398,42,15
1970-01-01 00:00:49.721780046,1970-01-01 00:00:26.361388993,49,26
1970-01-01 00:01:21.097184402,1970-01-01 00:01:15.970668090,81,75
1970-01-01 00:00:38.510558920,1970-01-01 00:00:08.400392739,38,8
1970-01-01 00:01:32.054786124,1970-01-01 00:01:14.322843395,92,74
1970-01-01 00:01:18.761837455,1970-01-01 00:00:13.952020065,78,13
1970-01-01 00:00:34.719939346,1970-01-01 00:00:14.731752022,34,14
1970-01-01 00:00:40.024628013,1970-01-01 00:00:38.761120153,40,38
1970-01-01 00:01:12.956180177,1970-01-01 00:00:48.156228227,72,48
1970-01-01 00:00:58.739698158,1970-01-01 00:00:23.697638311,58,23
1970-01-01 00:01:01.842486255,1970-01-01 00:00:57.227698608,61,57
1970-01-01 00:01:33.646046840,1970-01-01 00:00:06.047954379,93,6
1970-01-01 00:00:22.342293052,1970-01-01 00:00:09.521998710,22,9
1970-01-01 00:00:51.340380564,1970-01-01 00:00:14.261495099,51,14
1970-01-01 00:00:55.378845221,1970-01-01 00:00:52.284116653,55,52
1970-01-01 00:01:18.871495921,1970-01-01 00:00:12.685324679,78,12
1970-01-01 00:00:21.479001819,1970-01-01 00:00:01.571736976,21,1
1970-01-01 00:01:08.337237145,1970-01-01 00:00:43.953750468,68,43
1970-01-01 00:01:39.568397457,1970-01-01 00:01:14.255263397,99,74
1970-01-01 00:00:09.616654867,1970-01-01 00:00:03.037147048,9,3
1970-01-01 00:00:16.499337389,1970-01-01 00:00:10.628769527,16,10
1970-01-01 00:01:26.657350039,1970-01-01 00:00:45.015251369,86,45
1970-01-01 00:00:34.610321943,1970-01-01 00:00:31.542874189,34,31
1970-01-01 00:00:35.490395112,1970-01-01 00:00:32.690752138,35,32
1970-01-01 00:01:23.881780998,1970-01-01 00:00:47.341459198,83,47
1970-01-01 00:01:35.515374274,1970-01-01 00:01:31.022035464,95,91
1970-01-01 00:01:23.992624935,1970-01-01 00:00:17.070279956,83,17
1970-01-01 00:01:10.849217881,1970-01-01 00:01:04.757756939,70,64
1970-01-01 00:01:32.275066262,1970-01-01 00:00:52.631063463,92,52
1970-01-01 00:01:13.371517343,1970-01-01 00:00:33.113083583,73,33
1970-01-01 00:00:59.694443444,1970-01-01 00:00:57.036025679,59,57
1970-01-01 00:00:55.670467544,1970-01-01 00:00:12.917816273,55,12
1970-01-01 00:01:08.315053752,1970-01-01 00:00:06.944897062,68,6
1970-01-01 00:01:31.089857438,1970-01-01 00:00:19.096276954,91,19
1970-01-01 00:01:25.270932195,1970-01-01 00:00:45.902808603,85,45
1970-01-01 00:01:25.230226163,1970-01-01 00:00:30.930135614,85,30
1970-01-01 00:00:43.392488048,1970-01-01 00:00:03.811656822,43,3
1970-01-01 00:00:59.211993753,1970-01-01 00:00:50.226236583,59,50
1970-01-01 00:00:49.271230055,1970-01-01 00:00:28.496037533,49,28
1970-01-01 00:00:30.456456145,1970-01-01 00:00:08.287911674,30,8
1970-01-01 00:00:56.476512148,1970-01-01 00:00:44.392472577,56,44
1970-01-01 00:00:36.987182414,1970-01-01 00:00:12.467203784,36,12
1970-01-01 00:00:56.241089237,1970-01-01 00:00:21.676734259,56,21
1970-01-01 00:00:30.570243596,1970-01-01 00:00:12.938569876,30,12
1970-01-01 00:01:02.335293715,1970-01-01 00:00:42.860930518,62,42
1970-01-01 00:00:50.800305176,1970-01-01 00:00:08.275114790,50,8
1970-01-01 00:01:28.115005661,1970-01-01 00:00:29.525850579,88,29
1970-01-01 00:00:35.691665359,1970-01-01 00:00:29.425900063,35,29
1970-01-01 00:00:53.242485631,1970-01-01 00:00:16.366275103,53,16
1970-01-01 00:00:27.017788000,1970-01-01 00:00:05.439254689,27,5
1970-01-01 00:00:53.122077577,1970-01-01 00:00:26.098529174,53,26
1970-01-01 00:01:32.087934882,1970-01-01 00:00:51.959797809,92,51
1970-01-01 00:01:26.990867878,1970-01-01 00:00:55.167869527,86,55
1970-01-01 00:01:33.032067006,1970-01-01 00:01:13.056330988,93,73
1970-01-01 00:00:33.129039771,1970-01-01 00:00:19.680778544,33,19
1970-01-01 00:01:14.787792115,1970-01-01 00:00:02.532036509,74,2
1970-01-01 00:01:05.615192220,1970-01-01 00:00:53.964710975,65,53
1970-01-01 00:01:33.520747407,1970-01-01 00:00:31.693209228,93,31
1970-01-01 00:01:00.540445387,1970-01-01 00:00:08.917117483,60,8
1970-01-01 00:00:45.726727330,1970-01-01 00:00:24.875071979,45,24
1970-01-01 00:01:09.306190458,1970-01-01 00:01:03.458926063,69,63
1970-01-01 00:01:35.393405853,1970-01-01 00:00:02.214673016,95,2
1970-01-01 00:01:24.527410567,1970-01-01 00:00:23.189745374,84,23
1970-01-01 00:01:32.103707869,1970-01-01 00:01:10.954400690,92,70
1970-01-01 00:01:20.444632295,1970-01-01 00:00:57.264693395,80,57
1970-01-01 00:00:38.001040951,1970-01-01 00:00:31.121735061,38,31
1970-01-01 00:00:47.089216652,1970-01-01 00:00:34.082353385,47,34
1970-01-01 00:01:25.596645395,1970-01-01 00:00:53.595634616,85,53
1970-01-01 00:01:25.407631186,1970-01-01 00:00:39.045821255,85,39
1970-01-01 00:00:41.003406517,1970-01-01 00:00:35.790292370,41,35
1970-01-01 00:00:41.804932376,1970-01-01 00:00:05.135880384,41,5
1970-01-01 00:00:57.270152764,1970-01-01 00:00:53.157646923,57,53
1970-01-01 00:00:53.302545707,1970-01-01 00:00:08.257840105,53,8
1970-01-01 00:01:38.535097028,1970-01-01 00:00:17.253243471,98,17
1970-01-01 00:01:31.929423459,1970-01-01 00:00:41.179086185,91,41
1970-01-01 00:01:00.207205450,1970-01-01 00:00:36.191934667,60,36
1970-01-01 00:00:38.755751044,1970-01-01 00:00:05.587030290,38,5
1970-01-01 00:01:33.368956409,1970-01-01 00:00:34.128626108,93,34
1970-01-01 00:01:20.187748523,1970-01-01 00:00:43.522918689,80,43
1970-01-01 00:01:14.850999722,1970-01-01 00:00:22.144271181,74,22
1970-01-01 00:00:34.786904138,1970-01-01 00:00:06.826327428,34,6
1970-01-01 00:01:23.951765906,1970-01-01 00:00:21.448125426,83,21
1970-01-01 00:01:29.119606171,1970-01-01 00:00:59.526803275,89,59
1970-01-01 00:01:19.250696179,1970-01-01 00:01:09.486041696,79,69
1970-01-01 00:01:24.291423681,1970-01-01 00:00:42.450974191,84,42
1970-01-01 00:01:12.792173042,1970-01-01 00:00:07.653111376,72,7
1970-01-01 00:01:27.497570425,1970-01-01 00:00:01.241647970,87,1
1970-01-01 00:01:18.489105620,1970-01-01 00:00:29.008883051,78,29
1970-01-01 00:01:18.400340199,1970-01-01 00:00:55.528182078,78,55
1970-01-01 00:01:08.793506028,1970-01-01 00:00:39.753500829,68,39
1970-01-01 00:00:26.793513652,1970-01-01 00:00:08.886317911,26,8
1970-01-01 00:01:13.402816300,1970-01-01 00:01:09.419517825,73,69
1970-01-01 00:00:44.738121865,1970-01-01 00:00:44.509702773,44,44
1970-01-01 00:00:45.636522373,1970-01-01 00:00:27.116548204,45,27
1970-01-01 00:00:56.031716949,1970-01-01 00:00:45.271791564,56,45
1970-01-01 00:00:33.373219493,1970-01-01 00:00:07.015123877,33,7
1970-01-01 00:00:41.181953155,1970-01-01 00:00:18.554069380,41,18
1970-01-01 00:01:33.732073753,1970-01-01 00:00:58.301460066,93,58
1970-01-01 00:00:41.220907051,1970-01-01 00:00:33.255788045,41,33
1970-01-01 00:01:01.383826822,1970-01-01 00:00:12.463544215,61,12
1970-01-01 00:01:23.824314643,1970-01-01 00:00:53.044569559,83,53
1970-01-01 00:01:37.399071860,1970-01-01 00:01:37.257803132,97,97
1970-01-01 00:01:00.985187922,1970-01-01 00:00:06.679766863,60,6
1970-01-01 00:01:14.676616177,1970-01-01 00:00:54.870510533,74,54
1970-01-01 00:01:30.318053891,1970-01-01 00:01:13.277417767,90,73
1970-01-01 00:01:35.549253343,1970-01-01 00:00:04.522315080,95,4
1970-01-01 00:01:01.652016871,1970-01-01 00:00:54.289356152,61,54
1970-01-01 00:01:12.080662996,1970-01-01 00:00:37.603017169,72,37
1970-01-01 00:01:13.510619375,1970-01-01 00:01:08.030666002,73,68
1970-01-01 00:00:47.928412473,1970-01-01 00:00:35.992638271,47,35
1970-01-01 00:01:15.458510121,1970-01-01 00:00:29.464107304,75,29
1970-01-01 00:00:28.787494671,1970-01-01 00:00:14.000062450,28,14
1970-01-01 00:01:19.062604501,1970-01-01 00:00:06.381906463,79,6
1970-01-01 00:01:22.950816643,1970-01-01 00:00:51.989119852,82,51
1970-01-01 00:01:23.447075774,1970-01-01 00:00:14.953300784,83,14
1970-01-01 00:01:10.010306873,1970-01-01 00:00:59.772937889,70,59
1970-01-01 00:01:03.747810850,1970-01-01 00:00:33.753613317,63,33
1970-01-01 00:01:18.262352050,1970-01-01 00:01:04.328185392,78,64
1970-01-01 00:01:30.265500503,1970-01-01 00:00:49.164345687,90,49
1970-01-01 00:01:36.492614559,1970-01-01 00:00:21.261231867,96,21
1970-01-01 00:01:39.022215239,1970-01-01 00:01:37.518373333,99,97
1970-01-01 00:00:51.117148036,1970-01-01 00:00:18.025370082,51,18
1970-01-01 00:01:19.879746072,1970-01-01 00:00:40.450081506,79,40
1970-01-01 00:01:33.703176753,1970-01-01 00:01:18.072997296,93,78
1970-01-01 00:01:25.321864902,1970-01-01 00:00:02.595656970,85,2
1970-01-01 00:01:17.196710489,1970-01-01 00:00:35.195575439,77,35
1970-01-01 00:01:22.930628263,1970-01-01 00:01:11.191303569,82,71
1970-01-01 00:00:51.702536775,1970-01-01 00:00:29.085918188,51,29
1970-01-01 00:00:57.244856402,1970-01-01 00:00:47.718300147,57,47
1970-01-01 00:01:37.490694100,1970-01-01 00:00:37.555793549,97,37
1970-01-01 00:01:39.215040913,1970-01-01 00:01:15.776230280,99,75
1970-01-01 00:00:24.848898886,1970-01-01 00:00:15.816505894,24,15
1970-01-01 00:01:38.170248669,1970-01-01 00:00:08.553469369,98,8
1970-01-01 00:00:54.871420326,1970-01-01 00:00:08.990510382,54,8
1970-01-01 00:01:11.994172577,1970-01-01 00:00:40.844008098,71,40
1970-01-01 00:01:15.350788687,1970-01-01 00:00:36.836490950,75,36
1970-01-01 00:01:22.000694921,1970-01-01 00:00:01.684670964,82,1
1970-01-01 00:01:27.308183918,1970-01-01 00:00:26.631368621,87,26
1970-01-01 00:01:14.148949983,1970-01-01 00:00:52.791304502,74,52
1970-01-01 00:01:39.956908975,1970-01-01 00:00:15.414545844,99,15
1970-01-01 00:01:12.009941796,1970-01-01 00:00:05.044420840,72,5
1970-01-01 00:01:30.958571633,1970-01-01 00:00:43.131314131,90,43
1970-01-01 00:01:29.601460530,1970-01-01 00:01:19.797496869,89,79
1970-01-01 00:01:16.069700719,1970-01-01 00:00:45.722541001,76,45
1970-01-01 00:01:11.919853823,1970-01-01 00:00:33.976296330,71,33
1970-01-01 00:01:28.119229098,1970-01-01 00:00:02.609617112,88,2
1970-01-01 00:00:59.656617217,1970-01-01 00:00:13.987408922,59,13
1970-01-01 00:01:39.856601661,1970-01-01 00:00:19.151313758,99,19
1970-01-01 00:01:22.840037371,1970-01-01 00:01:07.755609017,82,67
1970-01-01 00:01:26.769909401,1970-01-01 00:01:13.618020858,86,73
1970-01-01 00:01:21.001881965,1970-01-01 00:00:35.041691876,81,35
1970-01-01 00:00:44.250081720,1970-01-01 00:00:09.394908924,44,9
1970-01-01 00:00:47.683672968,1970-01-01 00:00:15.172797120,47,15
1970-01-01 00:00:44.299168841,1970-01-01 00:00:15.419527306,44,15
1970-01-01 00:01:31.636376555,1970-01-01 00:00:32.036428399,91,32
1970-01-01 00:00:49.165071411,1970-01-01 00:00:40.243016663,49,40
1970-01-01 00:01:11.331308685,1970-01-01 00:00:53.517466563,71,53
1970-01-01 00:01:25.193280956,1970-01-01 00:00:11.673172223,85,11
1970-01-01 00:01:29.076724211,1970-01-01 00:00:08.167455006,89,8
1970-01-01 00:00:57.970514387,1970-01-01 00:00:28.669118014,57,28
1970-01-01 00:01:29.282039352,1970-01-01 00:00:35.666610427,89,35
1970-01-01 00:01:08.766035278,1970-01-01 00:01:08.306887390,68,68
1970-01-01 00:00:46.755212344,1970-01-01 00:00:04.472124299,46,4
1970-01-01 00:00:47.525546682,1970-01-01 00:00:44.764422468,47,44
1970-01-01 00:01:21.708590617,1970-01-01 00:01:10.603098903,81,70
1970-01-01 00:01:10.116943364,1970-01-01 00:00:15.287496973,70,15
1970-01-01 00:00:21.913073936,1970-01-01 00:00:07.049046780,21,7
1970-01-01 00:01:09.903641565,1970-01-01 00:00:11.312217388,69,11
1970-01-01 00:01:06.087628446,1970-01-01 00:00:03.885626851,66,3
1970-01-01 00:00:49.024463173,1970-01-01 00:00:31.422125978,49,31
1970-01-01 00:01:32.580042574,1970-01-01 00:00:01.562088069,92,1
1970-01-01 00:01:08.752578483,1970-01-01 00:00:31.849895040,68,31
1970-01-01 00:00:59.044503706,1970-01-01 00:00:51.513198794,59,51
1970-01-01 00:00:45.038768048,1970-01-01 00:00:15.820387045,45,15
1970-01-01 00:01:06.599960419,1970-01-01 00:00:28.880477508,66,28
1970-01-01 00:00:32.469838169,1970-01-01 00:00:19.318087631,32,19
1970-01-01 00:01:39.602503391,1970-01-01 00:01:20.463623625,99,80
1970-01-01 00:01:20.721100274,1970-01-01 00:00:37.091532699,80,37
1970-01-01 00:01:20.220906701,1970-01-01 00:00:32.313708114,80,32
1970-01-01 00:00:56.286164501,1970-01-01 00:00:40.969608340,56,40
1970-01-01 00:01:22.606580715,1970-01-01 00:01:14.098006893,82,74
1970-01-01 00:01:03.372972280,1970-01-01 00:00:25.562492414,63,25
1970-01-01 00:00:55.290942835,1970-01-01 00:00:13.522000822,55,13
1970-01-01 00:00:22.583642984,1970-01-01 00:00:07.211145814,22,7
1970-01-01 00:00:38.934245879,1970-01-01 00:00:15.072244014,38,15
1970-01-01 00:00:15.173844390,1970-01-01 00:00:09.039800726,15,9
1970-01-01 00:01:03.144554913,1970-01-01 00:00:01.601238306,63,1
1970-01-01 00:01:27.172831311,1970-01-01 00:00:47.260614016,87,47
1970-01-01 00:01:18.768607051,1970-01-01 00:00:25.189782254,78,25
1970-01-01 00:01:03.646971668,1970-01-01 00:00:02.711432148,63,2
1970-01-01 00:00:58.913098191,1970-01-01 00:00:55.164504228,58,55
1970-01-01 00:01:10.935577901,1970-01-01 00:00:50.607565727,70,50
1970-01-01 00:01:36.912930962,1970-01-01 00:00:27.087706354,96,27
1970-01-01 00:00:40.498052113,1970-01-01 00:00:09.636937452,40,9
1970-01-01 00:01:11.541471701,1970-01-01 00:01:09.429678243,71,69
1970-01-01 00:00:46.265270628,1970-01-01 00:00:19.027201851,46,19
1970-01-01 00:00:22.294018419,1970-01-01 00:00:01.859572035,22,1
1970-01-01 00:00:29.086701598,1970-01-01 00:00:07.131982208,29,7
1970-01-01 00:01:19.137480597,1970-01-01 00:00:03.210261990,79,3
1970-01-01 00:00:19.460218312,1970-01-01 00:00:01.941437932,19,1
1970-01-01 00:01:21.759555744,1970-01-01 00:00:13.715911666,81,13
1970-01-01 00:00:14.932324454,1970-01-01 00:00:07.558976752,14,7
1970-01-01 00:00:43.564416284,1970-01-01 00:00:09.775396926,43,9
1970-01-01 00:01:35.301341259,1970-01-01 00:00:44.373515137,95,44
1970-01-01 00:01:18.990258951,1970-01-01 00:01:14.089328069,78,74
1970-01-01 00:01:00.569582605,1970-01-01 00:00:06.458659878,60,6
1970-01-01 00:01:29.730639616,1970-01-01 00:01:06.745610619,89,66
1970-01-01 00:01:30.514322441,1970-01-01 00:00:59.353367979,90,59
1970-01-01 00:01:06.716163016,1970-01-01 00:00:40.739048894,66,40
1970-01-01 00:00:49.111596821,1970-01-01 00:00:25.755230155,49,25
1970-01-01 00:01:08.215636336,1970-01-01 00:00:50.747015040,68,50
1970-01-01 00:01:18.529009130,1970-01-01 00:00:35.727133677,78,35
1970-01-01 00:00:29.098495310,1970-01-01 00:00:09.777780534,29,9
1970-01-01 00:01:14.196517740,1970-01-01 00:00:16.289135933,74,16
1970-01-01 00:00:37.316221725,1970-01-01 00:00:23.735346779,37,23
1970-01-01 00:01:35.098620658,1970-01-01 00:00:53.777893988,95,53
1970-01-01 00:00:40.802159190,1970-01-01 00:00:14.936366571,40,14
1970-01-01 00:00:53.002489387,1970-01-01 00:00:22.210658351,53,22
1970-01-01 00:00:35.057438992,1970-01-01 00:00:02.187835000,35,2
1970-01-01 00:00:54.273639395,1970-01-01 00:00:48.489172329,54,48
1970-01-01 00:01:23.265077903,1970-01-01 00:01:18.456001349,83,78
1970-01-01 00:01:01.548788658,1970-01-01 00:00:56.028222899,61,56
1970-01-01 00:01:14.169833915,1970-01-01 00:00:29.910211628,74,29
1970-01-01 00:01:32.580736840,1970-01-01 00:00:52.477234911,92,52
1970-01-01 00:01:31.641745914,1970-01-01 00:00:17.880466509,91,17
1970-01-01 00:01:15.866931043,1970-01-01 00:00:12.209781615,75,12
1970-01-01 00:01:12.480804683,1970-01-01 00:00:29.162721450,72,29
1970-01-01 00:01:25.432316742,1970-01-01 00:01:14.398240272,85,74
1970-01-01 00:01:21.099781978,1970-01-01 00:01:17.327452638,81,77
1970-01-01 00:00:42.085948403,1970-01-01 00:00:07.860992450,42,7
1970-01-01 00:00:51.511496234,1970-01-01 00:00:31.570824843,51,31
1970-01-01 00:01:08.978134368,1970-01-01 00:00:57.831749011,68,57
1970-01-01 00:01:17.043102380,1970-01-01 00:00:26.875739980,77,26
1970-01-01 00:01:37.923739868,1970-01-01 00:00:40.616033277,97,40
1970-01-01 00:01:11.770395135,1970-01-01 00:00:50.709867198,71,50
1970-01-01 00:00:18.782823100,1970-01-01 00:00:10.995392481,18,10
1970-01-01 00:00:35.092540503,1970-01-01 00:00:30.603666343,35,30
1970-01-01 00:01:38.048698965,1970-01-01 00:01:19.491109633,98,79
1970-01-01 00:01:03.809161451,1970-01-01 00:00:33.150785030,63,33
1970-01-01 00:01:26.689650655,1970-01-01 00:01:07.147756756,86,67
1970-01-01 00:01:01.683591228,1970-01-01 00:00:36.632492192,61,36
1970-01-01 00:01:12.994661831,1970-01-01 00:01:08.271354353,72,68
1970-01-01 00:01:03.623162018,1970-01-01 00:00:20.510830362,63,20
1970-01-01 00:01:09.967110645,1970-01-01 00:00:16.819100764,69,16
1970-01-01 00:00:56.963475543,1970-01-01 00:00:02.714136761,56,2
1970-01-01 00:00:48.100771704,1970-01-01 00:00:40.252706812,48,40
1970-01-01 00:01:21.816208091,1970-01-01 00:00:25.383091830,81,25
1970-01-01 00:01:24.177943283,1970-01-01 00:01:04.751567963,84,64
1970-01-01 00:01:24.415322445,1970-01-01 00:00:15.770989814,84,15
1970-01-01 00:01:27.949267706,1970-01-01 00:01:11.553244775,87,71
1970-01-01 00:01:34.796168590,1970-01-01 00:01:23.651311136,94,83
1970-01-01 00:00:35.157445529,1970-01-01 00:00:26.252673019,35,26
1970-01-01 00:01:01.619522542,1970-01-01 00:00:22.228236316,61,22
1970-01-01 00:00:28.942131264,1970-01-01 00:00:08.423351889,28,8
1970-01-01 00:01:09.435346828,1970-01-01 00:00:37.580874882,69,37
1970-01-01 00:01:04.249717761,1970-01-01 00:00:48.310702044,64,48
1970-01-01 00:01:23.144484469,1970-01-01 00:00:30.756016490,83,30
1970-01-01 00:00:57.861041544,1970-01-01 00:00:03.011121793,57,3
1970-01-01 00:00:19.535011856,1970-01-01 00:00:11.275705355,19,11
1970-01-01 00:00:11.843151774,1970-01-01 00:00:09.306468533,11,9
1970-01-01 00:00:36.884763649,1970-01-01 00:00:31.238108055,36,31
1970-01-01 00:00:45.651238762,1970-01-01 00:00:24.872236597,45,24
1970-01-01 00:00:58.477158104,1970-01-01 00:00:07.587824491,58,7
1970-01-01 00:00:36.833355418,1970-01-01 00:00:34.220918246,36,34
1970-01-01 00:01:12.611141408,1970-01-01 00:00:17.701746425,72,17
1970-01-01 00:00:59.224039624,1970-01-01 00:00:14.655804141,59,14
1970-01-01 00:01:34.697083302,1970-01-01 00:00:51.385852745,94,51
1970-01-01 00:01:28.905491351,1970-01-01 00:01:02.276643300,88,62
1970-01-01 00:01:38.824724062,1970-01-01 00:00:34.251316405,98,34
1970-01-01 00:01:03.998564405,1970-01-01 00:00:50.721275520,63,50
1970-01-01 00:00:55.909412085,1970-01-01 00:00:47.621376871,55,47
1970-01-01 00:00:34.838755399,1970-01-01 00:00:19.842305403,34,19
1970-01-01 00:00:42.139535389,1970-01-01 00:00:17.691721102,42,17
1970-01-01 00:01:11.624593589,1970-01-01 00:00:49.649586514,71,49
1970-01-01 00:01:25.601859734,1970-01-01 00:00:37.077903431,85,37
1970-01-01 00:01:16.996593171,1970-01-01 00:00:05.524504521,76,5
1970-01-01 00:01:35.915341350,1970-01-01 00:00:12.047543384,95,12
1970-01-01 00:01:08.038716482,1970-01-01 00:00:31.409514591,68,31
1970-01-01 00:01:31.423306669,1970-01-01 00:00:26.253748305,91,26
1970-01-01 00:01:22.223502043,1970-01-01 00:00:03.289234731,82,3
